image_name,method,run_type,sigma,min_size,min_distance,use_contrast_enhancement,dice,iou,num_objects_gt,num_objects_pred,object_count_error,runtime_seconds,kept_as_best
136000dc18fa6def2d6c98d4d0b2084d13c22eaffe82e26c665bcaa2a9e51261.png,watershed,initial,1.0,30,5,False,0.05278829891136044,0.027109686574833012,34,1,33,0.0174,False
12f89395ad5d21491ab9cec137e247652451d283064773507d7dc362243c5b8e.png,watershed,initial,1.0,30,5,False,0.88134135855546,0.7878554957724827,78,57,21,0.0083,True
12aeefb1b522b283819b12e4cfaf6b13c1264c0aadac3412b4edd2ace304cb40.png,watershed,initial,1.0,30,5,False,0.7812942765824245,0.641085260838414,124,101,23,0.0454,True
11a0170f44e3ab4a8d669ae8ea9546d3a32ebfe6486d9066e5648d30b4e1cb69.png,watershed,initial,1.0,30,5,False,0.9407603890362511,0.8881469115191987,12,11,1,0.0072,True
10ba6cbee4873b32d5626a118a339832ba2b15d8643f66dddcd7cb2ec80fbc28.png,watershed,initial,1.0,30,5,False,0.9517662708774696,0.9079714231998496,67,59,8,0.0395,True
10328b822b836e67b547b4144e0b7eb43747c114ce4cacd8b540648892945b00.png,watershed,initial,1.0,30,5,False,0.9315584578676378,0.8718852844381758,23,20,3,0.0075,True
1023509cf8d4c155467800f89508690be9513431992f470594281cd37dbd020d.png,watershed,initial,1.0,30,5,False,0.9587627617444381,0.9207918488880618,23,19,4,0.0178,True
0ea221716cf13710214dcd331a61cea48308c3940df1d28cfc7fd817c83714e1.png,watershed,initial,1.0,30,5,False,0.7297592482746283,0.5745046734513864,369,116,253,0.0498,False
0e5edb072788c7b1da8829b02a49ba25668b09f7201cf2b70b111fc3b853d14f.png,watershed,initial,1.0,30,5,False,0.9524014336917562,0.9091282332010401,28,27,1,0.0082,True
0e4c2e2780de7ec4312f0efcd86b07c3738d21df30bb4643659962b4da5505a3.png,watershed,initial,1.0,30,5,False,0.07076368126081851,0.036679633580122974,62,3,59,0.0165,False
0e21d7b3eea8cdbbed60d51d72f4f8c1974c5d76a8a3893a7d5835c85284132e.png,watershed,initial,1.0,30,5,False,0.05195175908085349,0.026668620411751776,29,1,28,0.0177,False
0ddd8deaf1696db68b00c600601c6a74a0502caaf274222c8367bdc31458ae7e.png,watershed,initial,1.0,30,5,False,0.7034674955785412,0.5425760582010583,32,22,10,0.008,True
0d3640c1f1b80f24e94cc9a5f3e1d9e8db7bf6af7d4aba920265f46cadc25e37.png,watershed,initial,1.0,30,5,False,0.1677298787592142,0.09154211314957755,21,2,19,0.0153,False
0d2bf916cc8de90d02f4cd4c23ea79b227dbc45d845b4124ffea380c92d34c8c.png,watershed,initial,1.0,30,5,False,0.958521242064746,0.9203464158645227,19,16,3,0.0168,True
0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c.png,watershed,initial,1.0,30,5,False,0.9400619420659501,0.8869027157098659,28,23,5,0.0077,True
0c2550a23b8a0f29a7575de8c61690d3c31bc897dd5ba66caec201d201a278c2.png,watershed,initial,1.0,30,5,False,0.04718561676377185,0.024162878545361418,73,1,72,0.0164,False
0bf4b144167694b6846d584cf52c458f34f28fcae75328a2a096c8214e01c0d0.png,watershed,initial,1.0,30,5,False,0.8259930092151255,0.7035673685919991,57,40,17,0.0094,True
0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6.png,watershed,initial,1.0,30,5,False,0.041040032620949365,0.02094990878035043,29,1,28,0.018,False
0bda515e370294ed94efd36bd53782288acacb040c171df2ed97fd691fc9d8fe.png,watershed,initial,1.0,30,5,False,0.8487738419618529,0.7372781065088757,53,40,13,0.0081,True
0b2e702f90aee4fff2bc6e4326308d50cf04701082e718d4f831c8959fbcda93.png,watershed,initial,1.0,30,5,False,0.9646201873048907,0.9316582914572864,5,5,0,0.0068,True
0b0d577159f0d6c266f360f7b8dfde46e16fa665138bf577ec3c6f9c70c0cd1e.png,watershed,initial,1.0,30,5,False,0.7897838899803536,0.6525974025974026,7,6,1,0.0333,False
0acd2c223d300ea55d0546797713851e818e5c697d073b7f4091b96ce0f3d2fe.png,watershed,initial,1.0,30,5,False,0.9531452239192337,0.9104846686449061,9,8,1,0.0071,True
0a7d30b252359a10fd298b638b90cb9ada3acced4e0c0e5a3692013f432ee4e9.png,watershed,initial,1.0,30,5,False,0.8117669678907903,0.6831715210355987,27,23,4,0.0079,True
094afe36759e7daffe12188ab5987581d405b06720f1d5acf3f2614f404df380.png,watershed,initial,1.0,30,5,False,0.8475472696020098,0.7354290959155576,65,43,22,0.0079,True
091944f1d2611c916b98c020bd066667e33f4639159b2a92407fe5a40788856d.png,watershed,initial,1.0,30,5,False,6.0009868289452045e-05,3.0005834467813186e-05,44,10,34,0.2708,False
08ae2741df2f5ac815c0f272a8c532b5167ee853be9b939b9b8b7fa93560868a.png,watershed,initial,1.0,30,5,False,0.9432234432234432,0.8925476603119584,7,7,0,0.0079,True
08275a5b1c2dfcd739e8c4888a5ee2d29f83eccfa75185404ced1dc0866ea992.png,watershed,initial,1.0,30,5,False,1.8941501540180843e-05,9.470840466060059e-06,98,10,88,0.2669,False
08151b19806eebd58e5acec7e138dbfbb1761f41a1ab9620466584ecc7d5fada.png,watershed,initial,1.0,30,5,False,0.9579662292782235,0.9193235921851912,25,18,7,0.0164,True
07fb37aafa6626608af90c1e18f6a743f29b6b233d2e427dcd1102df6a916cf5.png,watershed,initial,1.0,30,5,False,0.7501357929532511,0.6001738338644924,313,139,174,0.0507,False
077f026f4ab0f0bcc0856644d99cbf639e443ec4f067d7b708bc6cecac609424.png,watershed,initial,1.0,30,5,False,0.9644970414201184,0.9314285714285714,6,6,0,0.0067,True
07761fa39f60dc37022dbbe8d8694595fd5b77ceb2af2a2724768c8e524d6770.png,watershed,initial,1.0,30,5,False,0.9465968586387434,0.8986083499005965,5,5,0,0.0067,True
072ff14c1d3245bf49ad6f1d4c71cdb18f1cb78a8e06fd2f53767e28f727cb81.png,watershed,initial,1.0,30,5,False,0.9475043029259896,0.9002452984464432,7,6,1,0.0069,True
06c779330d6d3447be21df2b9f05d1088f5b3b50dc48724fc130b1fd2896a68c.png,watershed,initial,1.0,30,5,False,0.9261935626223902,0.8625330696324455,30,22,8,0.0172,True
06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca.png,watershed,initial,1.0,30,5,False,0.8928484848484849,0.8064374863148676,19,15,4,0.0077,True
05a8f65ebd0b30d3b210f30b4d640c847c2e710d0d135e0aeeaccbe1988e3b6e.png,watershed,initial,1.0,30,5,False,0.9328736564591361,0.8741923223109084,26,20,6,0.0074,True
0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275.png,watershed,initial,1.0,30,5,False,0.9384176677587671,0.8839801108761502,24,19,5,0.0175,True
05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13.png,watershed,initial,1.0,30,5,False,0.9403489026449071,0.8874137015400956,24,22,2,0.0079,True
04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e.png,watershed,initial,1.0,30,5,False,0.9238980399374253,0.8585599452710792,82,61,21,0.0093,True
0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd.png,watershed,initial,1.0,30,5,False,0.8620017066926734,0.7574718800214247,125,63,62,0.0119,False
03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a.png,watershed,initial,1.0,30,5,False,0.9633267372495775,0.9292481747756786,17,16,1,0.0185,True
03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe.png,watershed,initial,1.0,30,5,False,0.9507473954401329,0.906118689921142,22,17,5,0.0171,True
03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776.png,watershed,initial,1.0,30,5,False,0.8932355338223309,0.8070692194403535,16,8,8,0.007,False
02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339.png,watershed,initial,1.0,30,5,False,0.9347285161077696,0.8774556817127123,23,18,5,0.017,True
0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426.png,watershed,initial,1.0,30,5,False,0.8546171630626955,0.7461410591308478,62,35,27,0.0091,True
0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21.png,watershed,initial,1.0,30,5,False,0.9341002465078061,0.8763490595127968,16,14,2,0.0074,True
01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf.png,watershed,initial,1.0,30,5,False,0.01715794104707435,0.00865320612380741,7,1,6,0.0155,False
0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed.png,watershed,initial,1.0,30,5,False,0.00665986358021376,0.0033410572829659967,86,1,85,0.0169,True
00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e.png,watershed,initial,1.0,30,5,False,0.10649319929036073,0.05624125524685189,70,1,69,0.0165,False
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1.png,watershed,initial,1.0,30,5,False,0.9481671475900395,0.9014427961796383,36,33,3,0.0083,True
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552.png,watershed,initial,1.0,30,5,False,0.8206006853456964,0.6957784994018117,27,17,10,0.0092,True
00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e.png,watershed,rerun,0.5,15,5,False,0.10689455730119572,0.05646518936040204,70,3,67,0.0153,True
0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed.png,watershed,rerun,0.5,15,5,False,0.006541116547148314,0.003281289923481395,86,2,84,0.0161,False
01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf.png,watershed,rerun,0.5,15,5,False,0.01741487958575546,0.008783925293516157,7,1,6,0.0148,True
0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21.png,watershed,rerun,1.0,30,5,True,0.8565708565708565,0.7491245622811405,16,10,6,0.0108,False
0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426.png,watershed,rerun,0.5,15,5,False,0.8538395758508637,0.7449564283156261,62,37,25,0.0084,False
03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776.png,watershed,rerun,0.5,15,5,False,0.8972431077694235,0.8136363636363636,16,8,8,0.0064,True
0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd.png,watershed,rerun,0.5,15,5,False,0.8644099378881988,0.76119892796587,125,66,59,0.0109,True
07761fa39f60dc37022dbbe8d8694595fd5b77ceb2af2a2724768c8e524d6770.png,watershed,rerun,1.0,30,5,True,0.8778625954198473,0.782312925170068,5,5,0,0.01,False
07fb37aafa6626608af90c1e18f6a743f29b6b233d2e427dcd1102df6a916cf5.png,watershed,rerun,0.5,15,5,False,0.7505644162843201,0.6007227792026113,313,148,165,0.0473,True
08275a5b1c2dfcd739e8c4888a5ee2d29f83eccfa75185404ced1dc0866ea992.png,watershed,rerun,0.5,15,5,False,1.895485309396513e-05,9.477516369447805e-06,98,30,68,0.2511,True
091944f1d2611c916b98c020bd066667e33f4639159b2a92407fe5a40788856d.png,watershed,rerun,0.5,15,5,False,6.887748583845563e-05,3.443992898708836e-05,44,24,20,0.2585,True
0b0d577159f0d6c266f360f7b8dfde46e16fa665138bf577ec3c6f9c70c0cd1e.png,watershed,rerun,1.0,30,5,True,0.8345649223344895,0.7160973084886129,7,5,2,0.0511,True
0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6.png,watershed,rerun,0.5,15,5,False,0.04665280466528047,0.02388351890370733,29,1,28,0.0172,True
0c2550a23b8a0f29a7575de8c61690d3c31bc897dd5ba66caec201d201a278c2.png,watershed,rerun,0.5,15,5,False,0.047416049659711315,0.024283744446146775,73,1,72,0.0155,True
0d3640c1f1b80f24e94cc9a5f3e1d9e8db7bf6af7d4aba920265f46cadc25e37.png,watershed,rerun,0.5,15,5,False,0.1685890929223955,0.09205421474278229,21,5,16,0.0148,True
0e21d7b3eea8cdbbed60d51d72f4f8c1974c5d76a8a3893a7d5835c85284132e.png,watershed,rerun,0.5,15,5,False,0.0525971632723425,0.02700887678726236,29,1,28,0.0169,True
0e4c2e2780de7ec4312f0efcd86b07c3738d21df30bb4643659962b4da5505a3.png,watershed,rerun,0.5,15,5,False,0.07142425816113332,0.03703471769951405,62,3,59,0.0159,True
0ea221716cf13710214dcd331a61cea48308c3940df1d28cfc7fd817c83714e1.png,watershed,rerun,0.5,15,5,False,0.7298701545417414,0.5746421573759704,369,124,245,0.049,True
136000dc18fa6def2d6c98d4d0b2084d13c22eaffe82e26c665bcaa2a9e51261.png,watershed,rerun,0.5,15,5,False,0.05628914746187765,0.028959630177695705,34,1,33,0.0167,True
